brand;model;generation;segment;source
Audi;A3;III;C;https://pl.wikipedia.org/wiki/Audi_A3
Audi;A3;IV;C;https://pl.wikipedia.org/wiki/Audi_A3
BMW;Series 3;VI;D;https://pl.wikipedia.org/wiki/BMW_serii_3
BMW;Series 3;VII;D;https://pl.wikipedia.org/wiki/BMW_serii_3
BMW;X1;III;C-SUV;https://pl.wikipedia.org/wiki/BMW_X1
Citroën;C3;III;B;https://pl.wikipedia.org/wiki/Citro%C3%ABn_C3
Citroën;C3;IV;B;https://pl.wikipedia.org/wiki/Citro%C3%ABn_C3
Dacia;Duster;II;C-SUV;https://pl.wikipedia.org/wiki/Dacia_Duster
Dacia;Duster;III;C-SUV;https://pl.wikipedia.org/wiki/Dacia_Duster
Dacia;Sandero;II;B;https://pl.wikipedia.org/wiki/Dacia_Sandero
Dacia;Sandero;III;B;https://pl.wikipedia.org/wiki/Dacia_Sandero
Fiat;500 (2007 year);I;A;https://pl.wikipedia.org/wiki/Fiat_500_(2007)
Fiat;Panda;III;A;https://pl.wikipedia.org/wiki/Fiat_Panda
Ford;Fiesta;VI;B;https://pl.wikipedia.org/wiki/Ford_Fiesta
Ford;Fiesta;VII;B;https://pl.wikipedia.org/wiki/Ford_Fiesta
Ford;Focus;III;C;https://pl.wikipedia.org/wiki/Ford_Focus
Ford;Focus;IV;C;https://pl.wikipedia.org/wiki/Ford_Focus
Ford;Kuga;II;C-SUV;https://pl.wikipedia.org/wiki/Ford_Kuga
Ford;Kuga;III;C-SUV;https://pl.wikipedia.org/wiki/Ford_Kuga
Ford;Puma;I;B-SUV;https://pl.wikipedia.org/wiki/Ford_Puma_(2019)
Hyundai;Tucson;IV;C-SUV;https://pl.wikipedia.org/wiki/Hyundai_Tucson
Kia;Sportage;V;C-SUV;https://pl.wikipedia.org/wiki/Kia_Sportage
Mercedes;A-class;IV;C;https://pl.wikipedia.org/wiki/Mercedes-Benz_klasy_A
Mercedes;C-class;IV;D;https://pl.wikipedia.org/wiki/Mercedes-Benz_klasy_C
Mini;Hatch/Cabrio;III;B;https://pl.wikipedia.org/wiki/Mini_Hatch
Nissan;Qashqai;I;C-SUV;https://pl.wikipedia.org/wiki/Nissan_Qashqai
Nissan;Qashqai;II;C-SUV;https://pl.wikipedia.org/wiki/Nissan_Qashqai
Nissan;Qashqai;III;C-SUV;https://pl.wikipedia.org/wiki/Nissan_Qashqai
Opel / Vauxhall;Astra;IV;C;https://pl.wikipedia.org/wiki/Opel_Astra
Opel / Vauxhall;Astra;V;C;https://pl.wikipedia.org/wiki/Opel_Astra
Opel/Vauxhall;Corsa;IV;B;https://pl.wikipedia.org/wiki/Opel_Corsa
Opel/Vauxhall;Corsa;V;B;https://pl.wikipedia.org/wiki/Opel_Corsa
Opel/Vauxhall;Corsa;VI;B;https://pl.wikipedia.org/wiki/Opel_Corsa
Opel/Vauxhall;Mokka;I;B-SUV;https://pl.wikipedia.org/wiki/Opel_Mokka
Peugeot;208;I;B;https://pl.wikipedia.org/wiki/Peugeot_208
Peugeot;208;II;B;https://pl.wikipedia.org/wiki/Peugeot_208
Peugeot;308;II;C;https://pl.wikipedia.org/wiki/Peugeot_308
Peugeot;2008;I;B-SUV;https://pl.wikipedia.org/wiki/Peugeot_2008
Peugeot;2008;II;B-SUV;https://pl.wikipedia.org/wiki/Peugeot_2008
Peugeot;3008;II;C-SUV;https://pl.wikipedia.org/wiki/Peugeot_3008
Renault;Captur;I;B-SUV;https://pl.wikipedia.org/wiki/Renault_Captur
Renault;Captur;II;B-SUV;https://pl.wikipedia.org/wiki/Renault_Captur
Renault;Clio;III;B;https://pl.wikipedia.org/wiki/Renault_Clio
Renault;Clio;IV;B;https://pl.wikipedia.org/wiki/Renault_Clio
Renault;Clio;V;B;https://pl.wikipedia.org/wiki/Renault_Clio
Renault;Mégane;III;C;https://pl.wikipedia.org/wiki/Renault_M%C3%A9gane
Škoda;Fabia;III;B;https://pl.wikipedia.org/wiki/%C5%A0koda_Fabia
Škoda;Octavia;III;C;https://pl.wikipedia.org/wiki/%C5%A0koda_Octavia
Škoda;Octavia;IV;C;https://pl.wikipedia.org/wiki/%C5%A0koda_Octavia
Tesla;Model Y;I;D-SUV;https://pl.wikipedia.org/wiki/Tesla_Model_Y
Toyota;CH-R;II;B-SUV;https://pl.wikipedia.org/wiki/Toyota_C-HR
Toyota;Corolla;XII;C;https://pl.wikipedia.org/wiki/Toyota_Corolla
Toyota;Yaris;III;B;https://pl.wikipedia.org/wiki/Toyota_Yaris
Toyota;Yaris;IV;B;https://pl.wikipedia.org/wiki/Toyota_Yaris
Toyota;Yaris Cross;I;B-SUV;https://pl.wikipedia.org/wiki/Toyota_Yaris_Cross
Volkswagen;Golf;VI;C;https://pl.wikipedia.org/wiki/Volkswagen_Golf
Volkswagen;Golf;VII;C;https://pl.wikipedia.org/wiki/Volkswagen_Golf
Volkswagen;Golf;VIII;C;https://pl.wikipedia.org/wiki/Volkswagen_Golf
Volkswagen;Passat;VII;D;https://pl.wikipedia.org/wiki/Volkswagen_Passat
Volkswagen;Passat;VIII;D;https://pl.wikipedia.org/wiki/Volkswagen_Passat
Volkswagen;Polo;V;B;https://pl.wikipedia.org/wiki/Volkswagen_Polo
Volkswagen;Polo;VI;B;https://pl.wikipedia.org/wiki/Volkswagen_Polo
Volkswagen;T-Cross;I;B-SUV;https://pl.wikipedia.org/wiki/Volkswagen_T-Cross
Volkswagen;Tiguan;II;C-SUV;https://pl.wikipedia.org/wiki/Volkswagen_Tiguan
Volkswagen;Tiguan;III;C-SUV;https://pl.wikipedia.org/wiki/Volkswagen_Tiguan
Volkswagen;T-Roc;I;B-SUV;https://pl.wikipedia.org/wiki/Volkswagen_T-Roc
Volvo;XC40;I;C-SUV;https://pl.wikipedia.org/wiki/Volvo_XC40
