year;rank;brand;model;generation;segment;sales
2011;1;Volkswagen;Golf;VI;C;485824
2011;2;Volkswagen;Polo;V;B;358726
2011;3;Ford;Fiesta;VI;B;350850
2011;4;Opel/Vauxhall;Corsa;IV;B;316254
2011;5;Renault;Clio;III;B;295627
2011;6;Opel/Vauxhall;Astra;IV;C;291218
2011;7;Ford;Focus;III;C;283702
2011;8;Renault;Mégane;III;C;241483
2011;9;Volkswagen;Passat;VII;D;235852
2011;10;Nissan;Qashqai;I;C-SUV;208431
2012;1;Volkswagen;Golf;VII;C;431742
2012;2;Ford;Fiesta;VI;B;306405
2012;3;Volkswagen;Polo;V;B;287828
2012;4;Opel/Vauxhall;Corsa;IV;B;265297
2012;5;Renault;Clio;IV;B;244280
2012;6;Ford;Focus;III;C;241862
2012;7;Opel/Vauxhall;Astra;IV;C;232645
2012;8;Nissan;Qashqai;I;C-SUV;207885
2012;9;Renault;Mégane;III;C;199167
2012;10;Volkswagen;Passat;VII;D;195617
2013;1;Volkswagen;Golf;VII;C;470229
2013;2;Ford;Fiesta;VI;B;293663
2013;3;Renault;Clio;IV;B;287111
2013;4;Volkswagen;Polo;V;B;266994
2013;5;Opel/Vauxhall;Corsa;IV;B;239814
2013;6;Peugeot;208;I;B;239102
2013;7;Ford;Focus;III;C;224232
2013;8;Nissan;Qashqai;I;C-SUV;202593
2013;9;BMW;Series 3;VI;D;201224
2013;10;Opel/Vauxhall;Astra;IV;C;194683
2014;1;Volkswagen;Golf;VII;C;520958
2014;2;Ford;Fiesta;VI;B;308999
2014;3;Renault;Clio;IV;B;300924
2014;4;Volkswagen;Polo;V;B;280378
2014;5;Opel/Vauxhall;Corsa;IV;B;252420
2014;6;Ford;Focus;III;C;222843
2014;7;Peugeot;208;I;B;215312
2014;8;Škoda;Octavia;III;C;206362
2014;9;Nissan;Qashqai;II;C-SUV;204200
2014;10;Audi;A3;III;C;200157
2015;1;Volkswagen;Golf;VII;C;533584
2015;2;Ford;Fiesta;VI;B;314432
2015;3;Renault;Clio;IV;B;305305
2015;4;Volkswagen;Polo;V;B;301817
2015;5;Opel/Vauxhall;Corsa;V;B;269765
2015;6;Ford;Focus;III;C;234442
2015;7;Nissan;Qashqai;II;C-SUV;232176
2015;8;Peugeot;208;I;B;229767
2015;9;Volkswagen;Passat;VIII;D;228113
2015;10;Škoda;Octavia;III;C;218095
2015;11;Peugeot;308;II;C;214907
2015;12;Audi;A3;III;C;199668
2015;13;Opel/Vauxhall;Astra;V;C;195612
2015;14;Renault;Captur;I;B-SUV;195323
2015;15;Toyota;Yaris;III;B;184317
2015;16;Fiat;500 (2007 year);I;A;180523
2015;17;Mercedes-Benz;C-class;IV;D;173381
2015;18;Fiat;Panda;III;A;172338
2015;19;Opel/Vauxhall;Mokka;I;B-SUV;163747
2015;20;Škoda;Fabia;III;B;161394
2016;1;Volkswagen;Golf;VII;C;492952
2016;2;Renault;Clio;IV;B;315115
2016;3;Volkswagen;Polo;V;B;308561
2016;4;Ford;Fiesta;VI;B;300528
2016;5;Opel/Vauxhall;Corsa;V;B;264844
2016;6;Opel/Vauxhall;Astra;V;C;253483
2016;7;Peugeot;208;I;B;249047
2016;8;Nissan;Qashqai;II;C-SUV;234340
2016;9;Škoda;Octavia;III;C;230255
2016;10;Renault;Captur;I;B-SUV;217105
2016;11;Ford;Focus;III;C;214435
2016;12;Volkswagen;Passat;VIII;D;208575
2016;13;Peugeot;308;II;C;195653
2016;14;Toyota;Yaris;III;B;193969
2016;15;Fiat;Panda;III;A;191617
2016;16;Fiat;500 (2007 year);I;A;183730
2016;17;Volkswagen;Tiguan;II;C-SUV;180198
2016;18;Škoda;Fabia;III;B;177301
2016;19;Dacia;Sandero;II;B;170300
2016;20;Citroën;C3;III;B;134560
2017;1;Volkswagen;Golf;VII;C;483105
2017;2;Renault;Clio;IV;B;327395
2017;3;Volkswagen;Polo;V;B;272061
2017;4;Ford;Fiesta;VII;B;254539
2017;5;Nissan;Qashqai;II;C-SUV;247939
2017;6;Peugeot;208;I;B;244615
2017;7;Volkswagen;Tiguan;II;C-SUV;234916
2017;8;Opel/Vauxhall;Corsa;V;B;232738
2017;9;Škoda;Octavia;III;C;230116
2017;10;Opel/Vauxhall;Astra;V;C;217813
2017;11;Ford;Focus;III;C;214661
2017;12;Renault;Captur;I;B-SUV;212768
2017;13;Citroën;C3;III;B;207299
2017;14;Toyota;Yaris;III;B;199182
2017;15;Dacia;Sandero;II;B;196067
2017;16;Fiat;500 (2007 year);I;A;189928
2017;17;Fiat;Panda;III;A;187322
2017;18;Volkswagen;Passat;VIII;D;184123
2017;19;Peugeot;2008;I;B-SUV;180868
2017;20;Škoda;Fabia;III;B;180136
2018;1;Volkswagen;Golf;VII;C;445754
2018;2;Renault;Clio;IV;B;336268
2018;3;Volkswagen;Polo;VI;B;299920
