year;segment;sales
2012;A+B;3321590
2012;C;2125321
2012;D;1119617
2012;E+F;373470
2012;MPV;1475960
2012;SUV;1605139
2013;A+B;3079647
2013;C;2217372
2013;D;911787
2013;E+F;336462
2013;MPV;1338858
2013;SUV;1692863
2014;A+B;3135730
2014;C;2351734
2014;D;892769
2014;E+F;335841
2014;MPV;1293028
2014;SUV;2027375
2015;A+B;3430544
2015;C;2513424
2015;D;1009420
2015;E+F;335086
2015;MPV;1308724
2015;SUV;2457688
2016;A+B;3566638
2016;C;2631654
2016;D;1071749
2016;E+F;327847
2016;MPV;1337754
2016;SUV;2971807
2017;A+B;3650141
2017;C;2591627
2017;D;988099
2017;E+F;380531
2017;MPV;1286624
2017;SUV;3642598
2018;A+B;3653576
2018;C;2397831
2018;D;864520
2018;E+F;379855
2018;MPV;1124892
2018;SUV;4389074
2019;A+B;3556035
2019;C;2296145
2019;D;879041
2019;E+F;341067
2019;MPV;1026322
2019;SUV;4930354
2020;A+B;2613036
2020;C;1741007
2020;D;669544
2020;E+F;245563
2020;MPV;687507
2020;SUV;3986865
2021;A+B;2488412
2021;C;1493706
2021;D;603239
2021;E+F;222792
2021;MPV;533210
2021;SUV;4394473
2022;A+B;2070121
2022;C;1384659
2022;D;558480
2022;E+F;224205
2022;MPV;469733
2022;SUV;4583920
2023;A+B;2195440
2023;C;1617329
2023;D;638793
2023;E+F;239737
2023;MPV;463603
2023;SUV;5415076
